Waypoint_No,Latitude,Longitude,cc_Subplot1,cc_Subplot2,cc_Subplot3,cc_Subplot4,shrubs_less_1.5_Subplot1,shrubs_less_1.5_Subplot2,shrubs_less_1.5_Subplot3,shrubs_less_1.5_Subplot4,shrubs_less_1.5_spp_Subplot1,shrubs_less_1.5_spp_Subplot2,shrubs_less_1.5_spp_Subplot3,shrubs_less_1.5_spp_Subplot4,shrubs_more_1.5_no_stem_Subplot1,shrubs_more_1.5_no_stem_Subplot2,shrubs_more_1.5_no_stem_Subplot3,shrubs_more_1.5_no_stem_Subplot4,shrubs_more_1.5_no_stem_spp_Subplot1,shrubs_more_1.5_no_stem_spp_Subplot2,shrubs_more_1.5_no_stem_spp_Subplot3,shrubs_more_1.5_no_stem_spp_Subplot4,shrubs_more_1.5_stem_Subplot1,shrubs_more_1.5_stem_Subplot2,shrubs_more_1.5_stem_Subplot3,shrubs_more_1.5_stem_Subplot4,shrubs_more_1.5_stem_spp_Subplot1,shrubs_more_1.5_stem_spp_Subplot2,shrubs_more_1.5_stem_spp_Subplot3,shrubs_more_1.5_stem_spp_Subplot4,Source,
OTJISC190N,-20.2879,16.72653,2,3,2,3,28,71,32,83,6-16,"6-19,1-6",0,"1-29,6-12",34,44,21,69,6-7,"6-26,1-9",6-4,"6-41,1-8",5,2,6,9,"1-1,6-4",6-2,1-1,"6-4,1-2",book3,TBD
OTJISC319N,-20.34384,16.58477,1,1,1,1,23,12,33,29,1-17,0,1-18,1-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,book3,
OTJISC219N,-20.49149,16.66714,2,2,2,3,8,13,16,18,0,"1-8,2-1","1-12,2-2",1-9,3,7,4,14,0,2-1,2-1,2-3,0,1,3,0,0,0,0,0,book2,
OTJISC323,-20.34348,16.48243,1,2,3,1,22,20,13,28,1-3,1-3,1-5,"1-3,2-3",5,8,11,10,0,1-1,0,2-3,0,0,0,0,0,0,0,0,book2,
OTJISC046N,-20.4633,16.42389,2,2,1,1,14,18,8,6,0,0,0,1-2,5,0,3,5,1-2,0,0,0,1,0,0,0,0,0,0,0,book2,
OTJISC062N,-20.50112,16.32045,1,1,1,1,14,17,22,14,1-11,1-14,1-18,1-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,book2,
OTJISC067N,-20.47832,16.22846,1,1,3,2,8,6,4,9,0,4-1,0,4-2,2,5,16,18,4-2,4-2,4-6,4-3,0,0,0,1,0,0,0,4-1,book5,Sub soil only manged 63 cm
OTJISC118N,-20.54363,16.12412,1,1,1,1,6,14,5,27,4-3,4-7,4-2,4-10,4,0,0,3,4-3,0,0,4-2,0,0,0,0,0,0,0,0,book5,Sub soil only manged 90 cm
OTJISC314N,-20.54163,16.03693,1,1,1,1,25,17,17,19,4-1,4-3,4-6,4-2,1,1,0,7,0,0,0,4-1,0,0,1,0,0,0,4-1,0,book5,Open bushland sub soil only manged 60 cm
OTJISC117N,-20.68646,16.09304,3,2,1,1,19,16,10,17,4-1,4-2,4-1,4-5,1,7,2,1,4-1,0,0,0,1,0,0,0,4-1,0,0,0,book5,Tp for plot 3 is 19cm .Tp for lpot 4 is 24 cm .Tp for plot 2 is 15cm.No SS collected due to hard surface
OTJISC203N,-20.69429,16.2039,3,3,3,2,6,9,14,19,4-1,4-6,4-6,4-11,7,4,7,17,4-2,0,4-1,4-2,0,0,0,0,0,0,0,0,book5,Very hard surface No SS collected
OTJISC008N,-20.78318,16.11966,1,2,2,2,23,7,29,45,0,4-1,0,0,1,3,2,4,4-1,4-3,4-1,4-1,0,3,1,2,0,4-2,0,0,book5,SS only managed 50 cm
OTJISC182N,-20.58052,15.71521,1,1,1,3,5,9,9,19,0,0,0,0,1,0,1,3,0,0,0,4-2,0,0,0,2,0,0,0,1-1,book5,SS only managed 58 cm
OTJISC060N,-20.80407,15.91526,2,3,4,2,45,40,61,36,0,0,0,0,1,2,7,3,0,0,1-2,0,2,3,3,2,1-2,1-2,1-3,1-1,book5,Bedrock on sight
OTJISC092N,-20.05195,16.76099,4,4,4,4,66,70,68,54,6-23,6-32,6-40,6-37,113,101,93,88,6-78,6-69,6-77,6-56,33,19,12,25,6-33,6-8,6-12,6-20,book6,
OTJISC093N,-20.20098,16.64834,1,1,1,2,34,26,19,42,1-13,1-11,1-8,1-23,14,19,12,21,1-9,1-6,1-4,1-6,4,0,2,3,1-4,0,1-2,1-3,book6,
